hash,block,from,to,value (ETH),gas used,gas price (Gwei),tx fee (ETH),timestamp,success
0x7ae688931ae0df5bb741edb6cf3efebe39f358fc23408abadbc4a8253f2612c0,21238630,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.01460660240901119,21000,15.672021599,0.000329112453579,2024-11-21 20:55:23,True
0x5ddb440474344bb5d3e675ddbc1238e673e9a9cb547a9adbb3273d4e412c947b,21321969,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.06,21000,26.048544099,0.000547019426079,2024-12-03 12:26:47,True
0x244bdebe67c92d8054352a451050a5611b4cd1f7b4c127851e26d4e0af273abb,21322012,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0xb330de798dcdc3a2f29cea4307defed2e4a63238,0.059350259546421,21000,23.272084829,0.000488713781409,2024-12-03 12:35:23,True
0x95aaa5b237ea4a49d840b1442d979abf30311cddaaa2f2c687118801b5d03cf6,21338470,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.05668855166301947,21000,23.996352033,0.000503923392693,2024-12-05 19:45:59,True
0xcb38e1231ca1343042d17fd2d76466cfe6bfb0d0baff82e5ac118783e9658d02,21447249,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.1,21000,12.141978613,0.000254981550873,2024-12-21 00:14:59,True
0x9f1582e0afe6819ca92dbcae33287bc5ca31aaf49eaf8a9913c61450dc06ed1a,21447261,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.09360590233530701,183959,9.514281825,0.001750237770245175,2024-12-21 00:17:23,True
0xd3f239e76ff455deb669779e19cb73749893edc8fe7a143e6091892b9a590284,21518084,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.004738459667211716,21000,10.386564446,0.000218117853366,2024-12-30 21:49:47,True
0xfcac4725c0d0a0aaee12bf3cda9764862bf788f4670f6c5c7f5a5195e2f9b613,21568767,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.025,21000,11.122298326,0.000233568264846,2025-01-06 23:40:35,True
0x7a11e1df3438df7a5ee67dd87a5269abfb022ab7afd040f19453cf6f88a2152f,21568774,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.009572293915817,183911,9.247125734,0.001700648140865674,2025-01-06 23:41:59,True
0xcee4ba3db6215ea313f91824c4d81b23c111e38f655bb90cd8e7d51f7318c881,21568782,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.0072518133544838,183911,9.393632015,0.001727592257510665,2025-01-06 23:43:35,True
0xd20756e38bde4f8b3165281ecbf40dffbfb5cae875c1fe99b6778e83ff3e2fb3,21632726,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.004660754836460105,21000,8.050238484,0.000169055008164,2025-01-15 21:59:11,True
0x1b55c8f94fa057e0357dea8c21e16bf9bd3afbcfaab1fc8fe215d0a0b454eb9d,21648265,0x0bc51935db6a2940a8898ea0852a7e22890da84e,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.06,21000,7.443316162,0.000156309639402,2025-01-18 02:03:35,True
0x7325d905f971fa0fabdfdc9858831c89a985d2ffd03765ed64bcb4026f8d7839,21648270,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1231deb6f5749ef6ce6943a275a1d3e7486f4eae,0.057162079294836,183935,4.400935776,0.00080948612195856,2025-01-18 02:04:35,True
0x5e9db744ba455320e55635b7baea0200682d50fbfdbeb5f378451dc238b121b4,21673633,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0.15,21000,16.790916411,0.000352609244631,2025-01-21 15:03:11,True
0xda4b6e21e7e3766b77324896e5c62babf107a84c9c2e9232061363801b3d396d,21687893,0xf60095e686e0c2ae955b017a427def4f3b4aa329,0x1251518f10bfa74759b1e46510e9a5fb076d0c8a,0.15071500719587133,21000,32.733576872,0.000687405114312,2025-01-23 14:49:23,True
